Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Precious Achiuwa,C,24,TOR,12,0,18.2,2.7,6.2,0.432,0.4,1.8,0.238,2.3,4.4,0.509,0.466,0.9,1.8,0.524,1.8,4.1,5.8,2.2,0.5,0.5,1.3,1.8,6.7
Bam Adebayo,C,26,MIA,15,15,34.9,8.6,16.3,0.529,0.1,0.2,0.333,8.5,16.1,0.531,0.531,6.0,7.3,0.818,2.2,8.1,10.3,4.0,1.3,1.1,2.6,2.5,23.3
Ochai Agbaji,SG,23,UTA,17,6,18.8,2.0,4.5,0.442,1.1,2.9,0.388,0.9,1.6,0.536,0.565,0.2,0.4,0.667,0.8,1.6,2.5,0.9,0.5,0.7,0.6,1.5,5.4
Santi Aldama,PF,23,MEM,10,4,26.5,5.8,13.0,0.446,2.0,6.0,0.333,3.8,7.0,0.543,0.523,1.0,1.7,0.588,1.2,4.7,5.9,2.0,0.5,0.6,1.3,1.7,14.6
Nickeil Alexander-Walker,SG,25,MIN,17,6,22.4,2.2,5.6,0.396,1.3,3.8,0.338,0.9,1.8,0.516,0.51,0.2,0.5,0.333,0.4,1.6,2.0,2.5,0.8,0.7,0.9,1.9,5.9
Grayson Allen,SG,28,PHO,16,16,32.5,4.1,8.4,0.489,2.4,5.0,0.475,1.8,3.4,0.509,0.63,1.3,1.6,0.84,0.8,3.7,4.5,2.9,0.6,0.4,1.6,2.4,11.9
Jarrett Allen,C,25,CLE,13,13,28.3,5.3,7.8,0.676,0.0,0.0,0.0,5.3,7.8,0.676,0.676,2.9,3.8,0.76,2.8,4.8,7.7,2.3,0.5,1.2,1.8,2.7,13.5
Jose Alvarado,PG,25,NOP,5,0,17.2,2.8,6.8,0.412,1.2,3.4,0.353,1.6,3.4,0.471,0.5,0.4,1.2,0.333,0.4,1.8,2.2,2.2,1.2,0.2,0.8,1.6,7.2
Kyle Anderson,PF,30,MIN,17,0,24.4,2.9,5.5,0.527,0.1,0.6,0.182,2.8,4.8,0.573,0.538,1.4,2.2,0.622,0.8,3.1,3.8,3.9,0.8,0.9,1.7,1.5,7.2
Giannis Antetokounmpo,PF,29,MIL,17,17,33.9,11.4,19.1,0.599,0.5,1.9,0.242,10.9,17.1,0.639,0.611,6.8,10.5,0.642,2.6,7.9,10.6,4.6,1.3,1.2,4.1,3.1,30.1
