Name,TotalMinutes,PER,TSPCT,3PAr,FTr,ORBPCT,DRBPCT,TRBPCT,ASTPCT,STLPCT,BLKPCT,TOVPCT,USGPCT,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,1522,15.4,0.554,0.207,0.249,13.3,20.4,16.8,0.087,0.013999999999999999,4.0,0.135,0.162,1.4,2.2,3.5,0.112,-1.4,0.4,-1.0,0.4
Precious Achiuwa,437,15.0,0.512,0.276,0.247,12.3,22.2,17.2,0.14400000000000002,0.018000000000000002,2.4,0.133,0.21300000000000002,0.0,0.4,0.4,0.049,-1.5,-0.2,-1.7,0.0
Precious Achiuwa,1085,15.6,0.579,0.165,0.251,13.7,19.7,16.7,0.064,0.013000000000000001,4.7,0.13699999999999998,0.142,1.4,1.7,3.1,0.137,-1.4,0.7,-0.7,0.4
Bam Adebayo,2162,20.1,0.575,0.033,0.398,7.3,28.0,17.6,0.193,0.017,2.8,0.12,0.254,2.5,3.9,6.5,0.143,0.8,1.7,2.5,2.5
Ochai Agbaji,1457,8.0,0.503,0.505,0.106,5.0,9.7,7.3,0.066,0.013999999999999999,2.3,0.11699999999999999,0.136,-0.4,0.6,0.2,0.008,-3.3,-0.9,-4.2,-0.8
Ochai Agbaji,1003,8.1,0.531,0.57,0.08,3.9,9.9,6.9,0.061,0.013000000000000001,2.6,0.11699999999999999,0.122,0.1,0.4,0.4,0.021,-2.6,-0.4,-3.0,-0.3
Ochai Agbaji,454,7.8,0.456,0.395,0.15,7.4,9.2,8.3,0.076,0.016,1.7,0.11800000000000001,0.167,-0.4,0.2,-0.2,-0.021,-4.7,-1.9,-6.6,-0.5
Santi Aldama,1618,13.0,0.539,0.535,0.153,4.7,19.8,11.9,0.134,0.013000000000000001,3.1,0.102,0.179,0.3,2.0,2.3,0.068,-0.8,0.4,-0.3,0.7
Nickeil Alexander-Walker,1742,10.4,0.567,0.627,0.119,2.3,7.3,4.9,0.14400000000000002,0.016,2.0,0.122,0.14400000000000002,1.1,2.6,3.7,0.102,-1.4,1.4,0.0,0.9
Grayson Allen,2318,13.8,0.687,0.654,0.213,2.2,10.1,6.4,0.125,0.013000000000000001,1.6,0.11599999999999999,0.142,4.5,1.8,6.3,0.131,1.1,0.0,1.1,1.8
Jarrett Allen,2209,21.6,0.662,0.007,0.396,11.3,26.1,18.8,0.13,0.011000000000000001,3.1,0.11599999999999999,0.195,5.9,3.7,9.7,0.21,1.9,1.1,3.0,2.8
Jose Alvarado,908,12.6,0.532,0.576,0.162,2.7,11.2,7.0,0.158,0.03,1.6,0.10300000000000001,0.17600000000000002,0.4,1.4,1.8,0.095,-1.6,1.7,0.1,0.5
